Decrease,Distance from Center,Mins to Event
12.500,1319.244,-30
12.500,1601.837,-30
6.250,2591.156,-30
6.250,2248.371,-30
6.250,1952.007,-30
6.250,1726.142,-30
6.250,1600.898,-30
12.500,1948.655,-30
22.222,2890.722,-30
22.222,2587.940,-30
22.222,2335.096,-30
22.222,2149.880,-30
22.222,2050.701,-30
16.667,717.305,0
10.000,959.393,0
10.000,1319.244,0
10.000,1601.837,0
6.250,1600.081,0
10.000,1948.655,0
8.333,2587.940,0
8.333,2149.880,0
6.250,2050.083,0
29.630,2056.656,30
20.690,2056.040,30
20.690,2337.618,30
9.524,1606.015,30
9.524,1324.385,30
9.524,1324.397,30
22.727,2591.156,30
22.727,2248.371,30
22.727,1952.007,30
22.727,1726.142,30
22.727,1600.898,30
23.810,1600.081,30
23.810,1723.868,30
23.810,2050.083,30
23.810,2148.111,30
37.037,2056.656,60
24.138,2056.040,60
37.931,2153.797,60
24.138,2337.618,60
37.037,1606.015,60
24.138,1729.378,60
24.138,1953.531,60
24.138,2248.532,60
10.000,1327.410,60
37.037,1324.385,60
24.138,1606.074,60
24.138,1954.233,60
37.931,2339.371,60
10.000,721.069,60
10.000,719.185,60
37.037,1324.397,60
37.931,1730.185,60
37.931,2155.720,60
33.333,717.305,60
37.931,2057.427,60
27.273,2591.156,60
27.273,2248.371,60
27.273,1952.007,60
27.273,1726.142,60
27.273,1600.898,60
2.941,2155.562,0
2.941,2056.656,0
2.941,1731.643,0
2.941,1606.829,0
40.000,2248.532,0
40.000,2590.287,0
2.941,1327.410,0
2.941,1159.857,0
2.941,967.848,0
1.695,722.999,0
1.695,1162.280,0
30.000,715.408,0
30.000,1156.385,0
1.695,1319.244,0
57.143,1950.752,0
57.143,2336.464,0
7.692,2586.611,0
7.692,2584.509,0
57.692,2886.772,0
3.333,2894.949,30
1.667,2592.661,30
9.091,2155.562,30
12.121,2056.656,30
3.333,2594.824,30
1.538,2252.597,30
3.077,1956.874,30
9.091,1731.643,30
9.091,1606.829,30
3.333,2344.508,30
1.538,1959.016,30
3.077,1610.230,30
9.091,1327.410,30
9.091,1159.857,30
9.091,967.848,30
3.571,1606.006,30
1.786,1322.281,30
1.695,1153.984,30
1.695,1152.824,30
3.571,2591.156,30
1.786,2248.371,30
3.571,1952.007,30
1.695,1726.142,30
1.695,1600.898,30
1.695,1600.081,30
40.385,2586.611,30
1.695,2587.940,30
1.695,2335.096,30
1.695,2050.701,30
3.333,2332.380,30
36.538,2584.509,30
65.385,2886.772,30
1.639,0.000,60
1.667,2894.949,60
1.538,2340.327,60
25.000,2891.007,60
1.667,2594.824,60
1.538,2252.597,60
